car	year	price	miles	dealer
2022 Mazda CX-30 2.5 Turbo Premium Package	2022	28990	39513	Freysinger Hyundai
2022 Mazda CX-30 Premium Package	2022	28500	3438	Route 9 Mazda
2022 Mazda CX-30 2.5 S Premium Package	2022	28734	7060	Rosenthal Gaithersburg Mazda
2023 Mazda CX-30 Premium Package	2023	30307	4178	Mazda of New Rochelle
2023 Mazda CX-30 Premium Package	2023	29937	4370	Lester Glenn Mazda
2023 Mazda CX-30 Premium Package	2023	30500	7658	Route 9 Mazda
2023 Mazda CX-30 Premium Package	2023	29900	3587	Safford Brown Mazda Fairfax
2022 Mazda CX-30 Premium Package	2022	27297	4020	Wayne Mazda
2023 Mazda CX-30 Premium Package	2023	31000	5516	Ourisman Mazda of Rockville
2022 Mazda CX-30 Premium Package	2022	27498	10823	Malloy Ford of Alexandria
2022 Mazda CX-30 Premium Package	2022	29500	11158	Hertrich Hyundai of New Castle
2023 Mazda CX-30 Premium Package	2023	30449	3617	Whaling City Ford
2023 Mazda CX-30 Premium Package	2023	30500	4442	Passport Mazda
2023 Mazda CX-30 Premium Package	2023	29975	4499	Safford Brown Mazda Chantilly
2022 Mazda CX-30 Premium Package	2022	25988	12043	Kia of Old Saybrook
2022 Mazda CX-30 Premium Package	2022	29957	5519	Whaling City Ford
2023 Mazda CX-30 Premium Package	2023	28700	1728	Hamden Mazda
2022 Mazda CX-30 Premium Package	2022	26998	25259	CarMax Turnersville - Offering Express Pickup and Home Delivery
2023 Mazda CX-30 Premium Package	2023	30724	7384	Whaling City Ford
2022 Mazda CX-30 Premium Package	2022	28245	18700	AutoLenders Williamstown
2022 Mazda CX-30 Premium Package	2022	27977	11863	Whaling City Ford
2022 Mazda CX-30 Premium Package	2022	27973	7840	Chapman Auto Store of EHT, NJ
2023 Mazda CX-30 Premium Package	2023	31495	3887	Scott Mazda
2022 Mazda CX-30 Premium Package	2022	28499	5772	Peruzzi Mazda
2023 Mazda CX-30 Premium Package	2023	29829	4971	Peruzzi Mazda
2023 Mazda CX-30 Premium Package	2023	28980	4837	Mazda of Abington
2023 Mazda CX-30 Premium Package	2023	29999	4933	Faulkner Mazda
2022 Mazda CX-30 Premium Package	2022	27175	17795	Sheehy Volkswagen of Hagerstown
2023 Mazda CX-30 Premium Package	2023	30000	9765	Route 9 Mazda
2023 Mazda CX-30 Premium Package	2023	29975	4837	Safford Brown Mazda Chantilly
2023 Mazda CX-30 Premium Package	2023	32198	14739	Passport Mazda
2023 Mazda CX-30 Premium Package	2023	32428	13418	Passport Mazda
2022 Mazda CX-30 Premium Package	2022	26376	13209	Mazda of South Charlotte
2022 Mazda CX-30 Premium Package	2022	25981	5306	Scott Clark Honda
2022 Mazda CX-30 Premium Package	2022	29774	6135	Lexus of Watertown
2023 Mazda CX-30 Premium Package	2023	30900	13706	Jake Sweeney Mazda Tri-County
2022 Mazda CX-30 Premium Package	2022	30999	40360	Stevenson Hendrick Mazda Wilmington
2022 Mazda CX-30 Premium Package	2022	27995	6002	Toyota of Keene
2022 Mazda CX-30 Premium Package	2022	26900	10810	Rome Pre-Owned Auto Sales
2023 Mazda CX-30 Premium Package	2023	31613	2376	Romano Mazda
